date,ch.kof.consensus.q_qn_10yyield_12m.mean,ch.kof.consensus.q_qn_10yyield_3m.mean,ch.kof.consensus.q_qn_3minterest_12m.mean,ch.kof.consensus.q_qn_3minterest_3m.mean,ch.kof.consensus.q_qn_eurchf_12m.mean,ch.kof.consensus.q_qn_eurchf_3m.mean,ch.kof.consensus.q_qn_exports_cy.mean,ch.kof.consensus.q_qn_exports_ny.mean,ch.kof.consensus.q_qn_investbau_cy.mean,ch.kof.consensus.q_qn_investbau_ny.mean,ch.kof.consensus.q_qn_invest_cy.mean,ch.kof.consensus.q_qn_investequ_cy.mean,ch.kof.consensus.q_qn_investequ_ny.mean,ch.kof.consensus.q_qn_invest_ny.mean,ch.kof.consensus.q_qn_prices_5y.mean,ch.kof.consensus.q_qn_prices_cy.mean,ch.kof.consensus.q_qn_prices_ny.mean,ch.kof.consensus.q_qn_realgdp_5y.mean,ch.kof.consensus.q_qn_realgdp_cy.mean,ch.kof.consensus.q_qn_realgdp_ny.mean,ch.kof.consensus.q_qn_realgdpspea_5y.mean,ch.kof.consensus.q_qn_realgdpspea_cy.mean,ch.kof.consensus.q_qn_realgdpspea_ny.mean,ch.kof.consensus.q_qn_spi_12m.mean,ch.kof.consensus.q_qn_spi_3m.mean,ch.kof.consensus.q_qn_unemp_5y.mean,ch.kof.consensus.q_qn_unemp_cy.mean,ch.kof.consensus.q_qn_unemp_ny.mean,ch.kof.consensus.q_qn_usdchf_12m.mean,ch.kof.consensus.q_qn_usdchf_3m.mean
Apr 2016,-0.0612085714285714,-0.29649619047619,-0.71347380952381,-0.770891428571429,1.11,1.09473684210526,3.12945210526316,3.94175052631579,0.38964298595,1.02185147515,1.4089462665181,1.83167609375,2.17929814915,1.83999440509337,1.10072492928571,-0.481764115913043,0.190887506727273,1.64714412290476,1.13036430543478,1.50444358713636,NA,NA,NA,8842.22222222222,8511.11111111111,3.45030206205,3.52998895868182,3.57585717066667,1.00760894736842,0.981293157894737
Jul 2016,-0.14314375,-0.326296875,-0.674481875,-0.7248425,1.099875,1.0940625,3.29867,3.14233176470588,0.861438125,1.447385625,1.71304084486427,2.06622117647059,1.85175411764706,1.73321410486226,1.05540277777778,-0.378374736842105,0.221653333333333,1.56444388888889,1.31266105263158,1.37338777777778,NA,NA,NA,8990.45454545455,9115.90909090909,3.31327277777778,3.38329368421053,3.41893777777778,1.017543125,0.994109375
Okt 2016,0.0882225,-0.0541691666666667,-0.665817692307692,-0.738346923076923,1.07807692307692,1.07830769230769,4.265,3.28785714285714,0.602857142857143,1.18857142857143,2.31545737422759,3.02571428571429,2.31,1.98125490830362,1.06307692307692,-0.373125,0.3175,1.49230769230769,1.338125,1.4975,NA,NA,NA,8968.18181818182,8708.18181818182,3.31076923076923,3.316875,3.315625,1.03145153846154,1.01914384615385
Jan 2017,0.072348125,-0.065380625,-0.69262625,-0.7462225,1.069125,1.0688125,3.15244,3.58718142857143,1.19687857142857,1.17047785714286,1.86050560725132,2.13572785714286,2.86738285714286,2.36993771971926,1.234084,0.435598333333333,0.67986,1.502496,1.53955666666667,1.67350705882353,NA,NA,NA,9526.15384615385,9390.25,3.283865625,3.30739684210526,3.22085944444444,1.03125,1.018875
Apr 2017,0.15615,-0.0648133333333333,-0.57278125,-0.74004,1.091335,1.0865275,3.37647470588235,3.63372058823529,0.616811176470588,0.743454705882353,1.65338854279437,2.08328235294118,2.44827,1.94850597180501,1.20588235294118,0.451578947368421,0.608333333333333,1.72991117647059,1.49128052631579,1.72771222222222,NA,NA,NA,10123.8571428571,9988.42857142857,3.20435882352941,3.23320789473684,3.17654166666667,1.007984375,0.99861375
Jul 2017,0.212640625,-0.0032625,-0.6523,-0.741915,1.13078588235294,1.13226117647059,3.081254375,3.685828125,1.22612785714286,1.26990928571429,1.90416431345594,2.1853625,2.682536875,2.2684272311009,1.1,0.448947368421053,0.636111111111111,1.56436055555556,1.30707,1.70993444444444,NA,NA,NA,10820.6595384615,10204.1084615385,3.19847647058824,3.20171944444444,3.14869117647059,0.992867647058824,0.975048235294118
Okt 2017,0.273571875,-0.01767125,-0.590161764705882,-0.717387647058824,1.16348823529412,1.16142941176471,3.27386833333333,4.35599833333333,1.16681176470588,1.20702647058824,2.14162070387932,2.54589764705882,3.23908882352941,2.64339281437619,1.17028388888889,0.4432695,0.705895,1.59823166666667,1.084055,1.906773,NA,NA,NA,10810.7142857143,10717.8571428571,3.15035166666667,3.1742215,3.038814,1.01872941176471,1.01696470588235
Jan 2018,0.421071703692308,0.167514159307692,-0.505345307,-0.727777274857143,1.18153333333333,1.16933333333333,4.439587593,3.78561891878571,1.64435251684615,1.18154664830769,2.96253299671923,3.50921445761538,2.79063689169231,2.31893451751848,1.15214285714286,0.75,0.993333333333333,1.580630167,1.9775326099375,1.669580938,NA,NA,NA,10609.6363636364,10381,3.0634669185,2.95399647725,2.9011564818,0.974125,0.966259285714286
Apr 2018,0.404049333333333,0.148702,-0.47146125,-0.71432,1.19606666666667,1.16629501913333,4.20155216429412,3.65083445652941,1.24674857206667,0.9732956786,3.25888598839436,4.093368245625,2.93428379975,2.35942309428239,1.30377848175,0.915894713055556,1.08674085364706,1.601030705,2.14977059327778,1.70725866522222,NA,NA,NA,10469.4545454545,10312.9090909091,2.959057576375,2.79299172266667,2.71276702077778,0.990348111666667,0.994334991733333
Jul 2018,0.356117647058824,0.0538823529411765,-0.484210526315789,-0.722789473684211,1.1525,1.13866666666667,4.36468421052632,3.77336842105263,1.58388888888889,0.896666666666667,3.34240193083842,4.0717,3.03995,2.41164972845403,1.17910526315789,0.976190476190476,1.089,1.62921052631579,2.68247619047619,1.74485,NA,NA,NA,10630.0897142857,10500.8182142857,2.98526315789474,2.68590476190476,2.59875,1.00964705882353,1.00023529411765
