"CubeId";"zimoma"
"PublishingDate";"2026-06-01 14:30"

"Date";"D0";"Value"
"2010-09";"SARON";"0.093595"
"2010-09";"3M0";"0.17833"
"2010-10";"SARON";"0.058606"
"2010-10";"3M0";"0.16833"
"2010-11";"SARON";"0.15866"
"2010-11";"3M0";"0.17167"
"2010-12";"SARON";"0.050282"
"2010-12";"3M0";"0.17"
"2011-01";"SARON";"0.10152"
"2011-01";"3M0";"0.17"
"2011-02";"SARON";"0.078858"
"2011-02";"3M0";"0.17"
"2011-03";"SARON";"0.083753"
"2011-03";"3M0";"0.18"
"2011-04";"SARON";"0.030437"
"2011-04";"3M0";"0.185"
"2011-05";"SARON";"0.02816"
"2011-05";"3M0";"0.17583"
"2011-06";"SARON";"0.07111"
