Division économique,Taux d'occupation,Sexe,Trimestre,"Emplois selon la division économique, le taux d'occupation et le sexe"
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2007Q1,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2007Q2,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2007Q3,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2007Q4,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2008Q1,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2008Q2,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2008Q3,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2008Q4,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2009Q1,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2009Q2,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2009Q3,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2009Q4,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2010Q1,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2010Q2,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2010Q3,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2010Q4,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2011Q1,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2011Q2,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2011Q3,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2011Q4,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2012Q1,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2012Q2,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2012Q3,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2012Q4,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2013Q1,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2013Q2,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2013Q3,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2013Q4,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2014Q1,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2014Q2,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2014Q3,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2014Q4,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2015Q1,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2015Q2,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2015Q3,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2015Q4,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2016Q1,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2016Q2,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2016Q3,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2016Q4,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2017Q1,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2017Q2,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2017Q3,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2017Q4,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2018Q1,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2018Q2,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2018Q3,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Homme,2018Q4,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2005Q2,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2005Q3,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2005Q4,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2006Q1,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2006Q2,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2006Q3,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2006Q4,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2007Q1,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2007Q2,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2007Q3,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2007Q4,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2008Q1,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2008Q2,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2008Q3,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2008Q4,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2009Q1,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2009Q2,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2009Q3,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2009Q4,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2010Q1,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2010Q2,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2010Q3,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2010Q4,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2011Q1,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2011Q2,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2011Q3,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2011Q4,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2012Q1,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2012Q2,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2012Q3,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2012Q4,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2013Q1,NA
87 Hébergement médico-social et social,"Total,désaisonnalisé",Femme,2013Q2,NA
